frequency_hz,pre_eq_gain_db,post_eq_gain_db
20.00,-4.335,6.429
21.20,-4.257,6.506
22.46,-4.206,6.555
23.80,-4.179,6.580
25.23,-4.171,6.583
26.74,-4.172,6.577
28.33,-4.178,6.566
30.03,-4.190,6.549
31.82,-4.207,6.528
33.72,-4.223,6.509
35.74,-4.234,6.498
37.87,-4.233,6.499
40.14,-4.219,6.512
42.54,-4.197,6.531
45.08,-4.178,6.543
47.77,-4.171,6.540
50.63,-4.179,6.520
53.65,-4.195,6.494
56.86,-4.206,6.477
60.26,-4.201,6.478
63.86,-4.181,6.490
67.68,-4.166,6.490
71.72,-4.168,6.468
76.01,-4.181,6.438
80.55,-4.182,6.426
85.37,-4.164,6.429
90.47,-4.152,6.414
95.87,-4.159,6.378
101.60,-4.159,6.356
107.68,-4.141,6.348
114.11,-4.134,6.315
120.93,-4.136,6.276
128.16,-4.120,6.257
135.82,-4.110,6.215
143.94,-4.105,6.171
152.54,-4.087,6.135
161.66,-4.079,6.077
171.32,-4.061,6.031
181.56,-4.046,5.964
192.41,-4.026,5.905
203.91,-4.007,5.828
216.09,-3.983,5.754
229.01,-3.959,5.667
242.70,-3.931,5.575
257.20,-3.900,5.477
272.57,-3.865,5.368
288.86,-3.827,5.253
306.13,-3.786,5.130
324.42,-3.740,4.999
343.81,-3.689,4.859
364.36,-3.634,4.712
386.14,-3.573,4.558
409.22,-3.508,4.397
433.68,-3.436,4.229
459.59,-3.359,4.056
487.06,-3.275,3.878
516.17,-3.185,3.695
547.02,-3.089,3.509
579.72,-2.986,3.321
614.36,-2.877,3.132
651.08,-2.761,2.942
689.99,-2.639,2.754
731.23,-2.511,2.567
774.94,-2.377,2.382
821.25,-2.238,2.201
870.33,-2.095,2.024
922.35,-1.946,1.852
977.47,-1.794,1.685
1035.89,-1.638,1.523
1097.81,-1.479,1.368
1163.42,-1.317,1.218
1232.95,-1.153,1.075
1306.64,-0.987,0.938
1384.73,-0.820,0.806
1467.49,-0.651,0.680
1555.20,-0.481,0.559
1648.15,-0.310,0.443
1746.65,-0.138,0.331
1851.04,0.034,0.223
1961.67,0.208,0.118
2078.91,0.383,0.016
2203.16,0.558,-0.083
2334.84,0.734,-0.180
2474.38,0.911,-0.275
2622.27,1.088,-0.369
2778.99,1.265,-0.462
2945.08,1.442,-0.553
3121.10,1.617,-0.644
3307.63,1.791,-0.735
3505.32,1.962,-0.825
3714.82,2.129,-0.914
3936.84,2.292,-1.003
4172.13,2.449,-1.092
4421.48,2.599,-1.180
4685.74,2.740,-1.268
4965.79,2.872,-1.355
5262.57,2.993,-1.442
5577.10,3.101,-1.528
5910.42,3.197,-1.614
6263.66,3.278,-1.700
6638.02,3.344,-1.786
7034.75,3.394,-1.872
7455.19,3.427,-1.957
7900.76,3.443,-2.043
8372.95,3.441,-2.130
8873.37,3.422,-2.217
9403.70,3.386,-2.306
9965.73,3.331,-2.395
10561.34,3.260,-2.487
11192.55,3.172,-2.580
11861.49,3.068,-2.676
12570.41,2.947,-2.775
13321.69,2.810,-2.879
14117.88,2.657,-2.989
14961.65,2.487,-3.105
15855.85,2.300,-3.231
16803.50,2.095,-3.369
17807.78,1.868,-3.521
18872.09,1.617,-3.694
20000.00,1.350,-3.883
