frequency_hz,pre_eq_gain_db,post_eq_gain_db
20.00,-4.823,8.855
21.20,-4.745,8.933
22.46,-4.693,8.980
23.80,-4.666,9.003
25.23,-4.659,9.005
26.74,-4.659,8.997
28.33,-4.665,8.983
30.03,-4.677,8.964
31.82,-4.693,8.941
33.72,-4.709,8.920
35.74,-4.720,8.908
37.87,-4.719,8.908
40.14,-4.705,8.920
42.54,-4.683,8.936
45.08,-4.664,8.945
47.77,-4.656,8.936
50.63,-4.664,8.911
53.65,-4.679,8.880
56.86,-4.690,8.858
60.26,-4.685,8.856
63.86,-4.666,8.862
67.68,-4.649,8.854
71.72,-4.651,8.821
76.01,-4.663,8.782
80.55,-4.663,8.762
85.37,-4.645,8.756
90.47,-4.632,8.727
95.87,-4.637,8.676
101.60,-4.637,8.641
107.68,-4.619,8.617
114.11,-4.610,8.563
120.93,-4.610,8.504
128.16,-4.593,8.465
135.82,-4.581,8.396
143.94,-4.574,8.326
152.54,-4.554,8.262
161.66,-4.543,8.169
171.32,-4.522,8.091
181.56,-4.504,7.985
192.41,-4.481,7.887
203.91,-4.458,7.765
216.09,-4.430,7.646
229.01,-4.401,7.509
242.70,-4.368,7.364
257.20,-4.331,7.211
272.57,-4.291,7.044
288.86,-4.246,6.867
306.13,-4.197,6.680
324.42,-4.143,6.483
343.81,-4.084,6.276
364.36,-4.019,6.059
386.14,-3.949,5.832
409.22,-3.872,5.598
433.68,-3.789,5.356
459.59,-3.699,5.107
487.06,-3.602,4.851
516.17,-3.498,4.591
547.02,-3.387,4.328
579.72,-3.268,4.061
614.36,-3.142,3.792
651.08,-3.010,3.523
689.99,-2.870,3.253
731.23,-2.724,2.985
774.94,-2.571,2.718
821.25,-2.413,2.455
870.33,-2.248,2.194
922.35,-2.079,1.937
977.47,-1.905,1.684
1035.89,-1.727,1.436
1097.81,-1.545,1.192
1163.42,-1.360,0.954
1232.95,-1.171,0.720
1306.64,-0.978,0.491
1384.73,-0.783,0.266
1467.49,-0.584,0.046
1555.20,-0.382,-0.169
1648.15,-0.177,-0.380
1746.65,0.033,-0.587
1851.04,0.248,-0.790
1961.67,0.468,-0.989
2078.91,0.693,-1.184
2203.16,0.926,-1.375
2334.84,1.165,-1.562
2474.38,1.412,-1.746
2622.27,1.667,-1.927
2778.99,1.931,-2.104
2945.08,2.203,-2.278
3121.10,2.485,-2.448
3307.63,2.775,-2.616
3505.32,3.073,-2.780
3714.82,3.378,-2.942
3936.84,3.689,-3.102
4172.13,4.003,-3.259
4421.48,4.318,-3.414
4685.74,4.630,-3.567
4965.79,4.936,-3.717
5262.57,5.231,-3.866
5577.10,5.508,-4.013
5910.42,5.761,-4.158
6263.66,5.984,-4.301
6638.02,6.170,-4.442
7034.75,6.313,-4.580
7455.19,6.408,-4.716
7900.76,6.450,-4.849
8372.95,6.438,-4.979
8873.37,6.372,-5.106
9403.70,6.254,-5.230
9965.73,6.090,-5.351
10561.34,5.883,-5.470
11192.55,5.641,-5.585
11861.49,5.369,-5.699
12570.41,5.074,-5.811
13321.69,4.760,-5.924
14117.88,4.431,-6.038
14961.65,4.091,-6.155
15855.85,3.740,-6.278
16803.50,3.380,-6.410
17807.78,3.010,-6.555
18872.09,2.627,-6.716
20000.00,2.243,-6.895
